学校,Schools web,学院, Department, Department Web,Major Master program list,专业 Major,Program Web,Duration,Admission requirement Web,Deadline,Remark,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,Master of International Affairs,https://www.sipa.columbia.edu/sipa-education/masters-programs/master-international-affairs,21 MONTHS,https://www.sipa.columbia.edu/admissions,"DEADLINES: FALL TERM 2023
Early Action: November 1, 2022
Fellowship Consideration: December 20, 2022
Final Application: February 5, 2023",,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,Master of Public Administration,https://www.sipa.columbia.edu/academics/programs/master-public-administration,21 Months,https://www.sipa.columbia.edu/admissions,"Early Action: November 1, 2022
Fellowship Consideration: December 20, 2022
Final Application: February 5, 2023",,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,MPA in Development Practice,https://www.sipa.columbia.edu/sipa-education/masters-programs/mpa-development-practice,21 Months,https://www.sipa.columbia.edu/admissions,"DEADLINES: FALL TERM 2023
Early Action: 
November 1, 2022
Fellowship Consideration: 
December 20, 2022
Final Application: 
February 5, 2023",,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,MPA in Economic Policy Management,https://www.sipa.columbia.edu/academics/programs/mpa-economic-policy-management,1 Year,https://www.sipa.columbia.edu/admissions,"Early Action: November 1
Fellowship Consideration: December 20
Final Deadline: February 5",,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,MPA in Environmental Science and Policy,https://www.sipa.columbia.edu/sipa-education/masters-programs/mpa-environmental-science-and-policy,1 Year,https://www.sipa.columbia.edu/admissions,"APPLICATION DEADLINES
Early Action: November 1
Fellowship Consideration: January 15
Final Application: February 15",,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,MPA in Global Leadership,https://www.sipa.columbia.edu/sipa-education/masters-programs/mpa-global-leadership,10 Months,https://www.sipa.columbia.edu/admissions,"IMPORTANT DEADLINES
The application for the 2024-2025 academic year is now open. 

Early Action Deadline: November 1, 2023
Regular Deadline With Scholarship Consideration Due: December 20, 2023
Final Application Due: February 9, 2024",,,,,,,,,,,,,,,,,,
,https://www.sipa.columbia.edu/academics/degree-programs,"International and Public Affairs, School of",,,,Executive MPA,https://www.sipa.columbia.edu/sipa-education/masters-programs/executive-mpa,2-3 Years,https://www.sipa.columbia.edu/admissions,"DEADLINES: FALL TERM
Priority & Fellowship Consideration Deadline: March 31
Final Deadline: June 1",,,,,,,,,,,,,,,,,,
,http://www.jtsa.edu/,Jewish Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,
,http://nursing.columbia.edu/,"Nursing, School of",,,,,,,,,,,,,,,,,,,,,,,,,,
,http://ps.columbia.edu/,"Physicians and Surgeons, Vagelos College of",,,,,,,,,,,,,,,,,,,,,,,,,,
,http://sps.columbia.edu/,"Professional Studies, School of",,,,,,,,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=570,"Professional Studies, School of",,,,Actuarial Science,https://sps.columbia.edu/academics/masters/actuarial-science,1.5 - 2 years,https://sps.columbia.edu/academics/masters/actuarial-science/full-time-master-science/admissions,Priority Deadline: February 15,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=569,"Professional Studies, School of",,,,Applied Analytics,https://sps.columbia.edu/academics/masters/applied-analytics,1.5 - 2 years,https://sps.columbia.edu/academics/masters/actuarial-science/full-time-master-science/admissions,Priority Deadline: February 15,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=570,"Professional Studies, School of",,,,Construction Administration,https://sps.columbia.edu/academics/masters/construction-administration,2.5 - 2 years,https://sps.columbia.edu/academics/masters/construction-administration,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=571,"Professional Studies, School of",,,,Bioethics,https://sps.columbia.edu/academics/masters/bioethics,3.5 - 2 years,https://sps.columbia.edu/academics/masters/bioethics,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=572,"Professional Studies, School of",,,,Enterprise Risk Management ,https://sps.columbia.edu/academics/masters/enterprise-risk-management,4.5 - 2 years,https://sps.columbia.edu/academics/masters/enterprise-risk-management/full-time-master-science/admissions,Priority Deadline: February 15,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=573,"Professional Studies, School of",,,,Human Capital Management,https://sps.columbia.edu/academics/masters/human-capital-management,5.5 - 2 years,https://sps.columbia.edu/academics/masters/human-capital-management,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=574,"Professional Studies, School of",,,,Information & Knowledge Strategy (IKNS),https://sps.columbia.edu/academics/masters/information-knowledge-strategy-ikns/curriculum-courses,6.5 - 2 years,https://sps.columbia.edu/academics/masters/information-and-knowledge-strategy/sub-2/page-1/deadlines,March 15,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=575,"Professional Studies, School of",,,,Insurance Management,https://sps.columbia.edu/academics/masters/insurance-management,7.5 - 2 years,https://sps.columbia.edu/academics/masters/insurance-management,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=576,"Professional Studies, School of",,,,Narrative Medicine,https://sps.columbia.edu/academics/masters/narrative-medicine,8.5 - 2 years,https://sps.columbia.edu/academics/masters/narrative-medicine,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=577,"Professional Studies, School of",,,,Negotiation and Conflict Resolution,https://sps.columbia.edu/academics/masters/negotiation-and-conflict-resolution,9.5 - 2 years,https://sps.columbia.edu/academics/masters/negotiation-and-conflict-resolution,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=578,"Professional Studies, School of",,,,M.S. Nonprofit Management,https://sps.columbia.edu/academics/masters/nonprofit-management,10.5 - 2 years,https://sps.columbia.edu/academics/masters/nonprofit-management,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=579,"Professional Studies, School of",,,,Political Analytics,https://sps.columbia.edu/academics/masters/political-analytics/full-time-master-science,11.5 - 2 years,https://sps.columbia.edu/academics/masters/political-analytics/full-time-master-science/admissions,"Priority Deadline: February 15

Final Deadline: June 15",,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=580,"Professional Studies, School of",,,,Sports Management,https://sps.columbia.edu/academics/masters/sports-management,12.5 - 2 years,https://sps.columbia.edu/academics/masters/sports-management,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=581,"Professional Studies, School of",,,,Strategic Communication,https://sps.columbia.edu/academics/masters/strategic-communication,13.5 - 2 years,https://sps.columbia.edu/academics/masters/strategic-communication/executive-master-science/admissions/application-process,"Priority Deadline: February 15

Final Deadline: June 15",,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=582,"Professional Studies, School of",,,,MS IN SUSTAINABILITY MANAGEMENT,https://www.sustainability.ei.columbia.edu/,14.5 - 2 years,https://www.sustainability.ei.columbia.edu/copy-of-how-to-apply,"May 15, 2022",,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=583,"Professional Studies, School of",,,,Sustainability Science,https://www.science.ei.columbia.edu/,15.5 - 2 years,,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=584,"Professional Studies, School of",,,,Technology Management,https://sps.columbia.edu/academics/masters/technology-management,16.5 - 2 years,,,,,,,,,,,,,,,,,,,,
,https://sps.columbia.edu/academics/all-programs?levels%5B569%5D=572,"Professional Studies, School of",,,,Wealth Management ,https://sps.columbia.edu/academics/masters/wealth-management,1.5 - 2 years,https://sps.columbia.edu/academics/masters/actuarial-science/full-time-master-science/admissions,Priority Deadline: February 15,,,,,,,,,,,,,,,,,,
,https://www.mailman.columbia.edu/,"Public Health, Mailman School of",,,,Master of Public Health Degree Programs,https://www.publichealth.columbia.edu/academics/degrees/master-public-health,2,,,,,,,,,,,,,,,,,,,,
,https://www.mailman.columbia.edu/,"Public Health, Mailman School of",,,,Master of Science,https://www.publichealth.columbia.edu/academics/degrees/master-science,2-3 Years,,,,,,,,,,,,,,,,,,,,
,https://www.mailman.columbia.edu/,"Public Health, Mailman School of",,,,Master of Health Administration,https://www.publichealth.columbia.edu/academics/degrees/master-health-administration,2-3 Years,,,,,,,,,,,,,,,,,,,,
,http://socialwork.columbia.edu/,"Social Work, School of",,,,MSW Program,https://socialwork.columbia.edu/academics/msw-program/,2,https://socialwork.columbia.edu/admissions/applying-to-cssw/,"PRIORITY DEADLINE: December 1
FINAL DEADLINE: February 15",,,,,,,,,,,,,,,,,,
,http://www.tc.columbia.edu/,Teachers College,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://utsnyc.edu/,Union Theological Seminary,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yale University,https://som.yale.edu/programs,Yale School of Management,,,,Master’s Degree in Asset Management ,https://som.yale.edu/programs/mms-asset-management/curriculum,,,,,,,,,,,,,,,,,,,,,
,https://gsas.yale.edu/,Graduate School of Arts & Sciences,,,,International and Development Economics,https://economics.yale.edu/ide-ma-program,1,https://economics.yale.edu/ide-ma-program/prospective-students,"January 2, 2024",,,,,,,,,,,,,,,,,,
,https://www.architecture.yale.edu/,School of Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.art.yale.edu/,School of Art,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://divinity.yale.edu/,Divinity School,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.drama.yale.edu/,David Geffen School of Drama,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://seas.yale.edu/,School of Engineering & Applied Science,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://environment.yale.edu/,School of the Environment,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://jackson.yale.edu/,Jackson School of Global Affairs,,,,"Master in Public Policy, Global Affairs (M.P.P.)",https://jackson.yale.edu/academics/mpp/,2 years,https://jackson.yale.edu/admissions/mpp/,"Summer-Fall 2023: Applicants should schedule any necessary standardized tests no later than November, in order to allow time for official scores to reach us before the application deadline.

December 1, 2023: Application deadline to receive an automatic fee waiver.
January 2, 2024: Final application deadline.
Mid-March 2024: Admissions decisions are released.
May 1, 2024: Reply deadline for offers of admission for Fall 2024 enrollment.",,,,,,,,,,,,,,,,,,
,,Jackson School of Global Affairs,,,,"
Joint Degrees (As a joint degree candidate, a student can earn two degrees in two semesters fewer than if the degrees were pursued separately (with the exception of the M.P.P./J.D. program, which takes four years).)",https://jackson.yale.edu/academics/joint-degrees/program/,3,https://jackson.yale.edu/admissions/joint-degrees/,/,,,,,,,,,,,,,,,,,,
,,Jackson School of Global Affairs,,,,"
Masters of Advanced Studies, Global Affairs (M.A.S.)",https://jackson.yale.edu/academics/mas/,1,https://jackson.yale.edu/admissions/mas/program/,"Summer-Fall 2023: Applicants should schedule any necessary standardized tests no later than October, in order to allow time for official scores to reach us before the application deadline.

November 1, 2023: Final application deadline.
Mid-March 2024: Admissions decisions are released.
May 1, 2024: Reply deadline for offers of admission for Fall 2024 enrollmen",,,,,,,,,,,,,,,,,,
,https://law.yale.edu/,Law School,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,MBA,https://som.yale.edu/programs/mba,,,,,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,MBA for Executives,https://som.yale.edu/programs/emba,,,,,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,Master of Advanced Management,https://som.yale.edu/programs/mam,1,https://som.yale.edu/programs/mam, ,,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,Master’s Degree in Asset Management,https://som.yale.edu/programs/mms-asset-management,1,https://som.yale.edu/programs/mms-asset-management/admissions,The 2022-2023 application is now closed. The 2023-2024 application will open in August 2023.,,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,Master’s Degree in Global Business & Society,https://som.yale.edu/programs/mms-global-business-and-society,1,https://som.yale.edu/programs/mms-global-business-and-society/admissions, ,,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,Master's Degree in Public Education Management,https://som.yale.edu/centers/the-broad-center/masters-degree-in-public-education-management,,https://som.yale.edu/centers/the-broad-center/masters-degree-in-public-education-management/admissions,"Application Timeline 2023-2024
Online Application 
September 5, 2023 – November 1, 2023

Individual Interviews
December 4-20, 2023; January 2-4, 2024

Final Interview Days
January 31-February 2, 2024

Decision Notification
March 2024",,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,Master’s Degree in Systemic Risk,https://som.yale.edu/programs/mms-systemic-risk,1,https://som.yale.edu/programs/mms-systemic-risk/admissions,,All candidates for admission to the Master’s Degree in Systemic Risk program must first be nominated by a qualified institution. ,,,,,,,,,,,,,,,,,
,https://som.yale.edu/,School of Management,,,,"Joint Programs (In most Yale joint-degree programs, students spend one year enrolled full-time at Yale SOM, during which they complete the integrated MBA core curriculum; one or more years enrolled in the other program; and one year taking courses in both programs.)",https://som.yale.edu/programs/joint-degrees,,https://som.yale.edu/programs/joint-degrees,,,,,,,,,,,,,,,,,,,
,https://medicine.yale.edu/,School of Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://music.yale.edu/,School of Music,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://nursing.yale.edu/,School of Nursing,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://ysph.yale.edu/,"
School of Public Health",,,,Master of Public Health (MPH) Degree,https://ysph.yale.edu/school-of-public-health/graduate-programs/master-of-public-health-mph-degree/,2,https://ysph.yale.edu/school-of-public-health/graduate-programs/master-of-public-health-mph-degree/,,,,,,,,,,,,,,,,,,,
,,"
School of Public Health",,,,Master of Science in Public Health,https://ysph.yale.edu/school-of-public-health/graduate-programs/master-of-science-in-public-health-msph/,1,https://ysph.yale.edu/school-of-public-health/graduate-programs/master-of-science-in-public-health-msph/,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke University,https://learnmore.duke.edu/,Continuing Studies,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://divinity.duke.edu/academics,Divinity School,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://www.duke-nus.edu.sg/,Duke-NUS Medical School,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,Graduate School,,,,Analytical Political Economy,https://gradschool.duke.edu/academics/programs-degrees/analytical-political-economy/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Computer Science,https://gradschool.duke.edu/academics/programs-degrees/computer-science-ms/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Critical Asian Humanities,https://gradschool.duke.edu/academics/programs-degrees/critical-asian-humanities/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Digital Art History/Computational Media,https://gradschool.duke.edu/academics/programs-degrees/digital-art-history-computational-media/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,East Asian Studies,https://gradschool.duke.edu/academics/programs-degrees/east-asian-studies/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Economics,https://gradschool.duke.edu/academics/programs-degrees/economics-masters/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Economics and Computation,https://gradschool.duke.edu/academics/programs-degrees/economics-and-computation/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Electrical and Computer Engineering,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Global Health,https://gradschool.duke.edu/academics/programs-degrees/global-health/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Humanities,https://gradschool.duke.edu/academics/programs-degrees/humanities/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Master in Interdisciplinary Data Science,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-and-degrees/,,,,,Political Science,https://gradschool.duke.edu/academics/programs-degrees/political-science-ma/,,,,,,,,,,,,,,,,,,,,,
,https://gradschool.duke.edu/academics/programs-degrees/quantitative-financial-economics/,,,,,Quantitative Financial Economics,https://gradschool.duke.edu/academics/programs-degrees/quantitative-financial-economics/,https://gradschool.duke.edu/academics/programs-degrees/quantitative-financial-economics/,1.5 - 2 years,https://gradschool.duke.edu/admissions/application-deadlines/,Not accepting applications for 2023 enrollment,,,,,,,,,,,,,,,,,
